a_user_id,words,distance,booksperuser,Vocabulary Size,missingwords,missing words %,,,
A3R19YKNL641X3,996,0.733433435,1489,15628,4,0.4,,,
A3U7ELIED4WP4R,996,0.686511342,1231,14908,4,0.4,,,
A2DSXA1E02C86D,996,0.808884802,707,16577,4,0.4,,,
AHUT55E980RDR,996,0.655411851,3091,10080,4,0.4,,,
A4SKIA2A7IDRX,996,0.856914273,987,31510,4,0.4,,,
ACJT8MUC0LRF0,995,0.80318612,970,18760,5,0.5,,,
A1YZ3IJXI2J119,995,0.604096919,674,10197,5,0.5,,,
A1S3C5OFU508P3,995,0.765190152,2319,15755,5,0.5,,,
APBA7Y4SINS0H,995,0.800239325,378,12827,5,0.5,,,
AC1K4OQOZ90RS,995,0.777958063,1550,18779,5,0.5,,,
A4FX5YCJA630V,995,0.759326053,552,13501,5,0.5,,,
AS6SH2JM2YY3H,995,0.713062739,849,12010,5,0.5,,,
A140XH16IKR4B0,995,0.770711672,594,12785,5,0.5,,,
A26J2TRDPZH7RZ,994,0.602982366,1392,11789,6,0.6,,,
A2NJO6YE954DBH,994,0.806988381,811,14223,6,0.6,,,
A24H4WUFUDPTAA,994,0.682769382,1221,10694,6,0.6,,,
A1CHM200OEN65X,994,0.707295272,761,9192,6,0.6,,,
A36TDC5SGAN0EP,994,0.720924988,962,9584,6,0.6,,,
A2HVL790PBWYTU,994,0.843366132,640,16976,6,0.6,,,
A1XXJ6I7K2I7SI,994,0.815970885,903,18369,6,0.6,,,
A2GBJQ9THOYDAJ,994,0.72983533,1339,16098,6,0.6,,,
AJNW2SVETWAW1,994,0.74752351,264,7236,6,0.6,,,
A22B13EJTZKCTM,994,0.742573509,1514,12546,6,0.6,,,
A1K1JW1C5CUSUZ,994,0.602450951,2910,22574,6,0.6,,,
A2VG0RY3EUWZKB,994,0.799566603,861,16346,6,0.6,,,
A55MRYPUAX4QU,994,0.780835912,739,9598,6,0.6,,,
A320TMDV6KCFU,994,0.750800786,4212,21608,6,0.6,,,
AK0CENM3LUM28,994,0.697785936,427,8775,6,0.6,,,
ABN5K7K1TM1QA,994,0.830375754,670,15932,6,0.6,,,
AISSRJ7E2L375,994,0.841772164,190,9689,6,0.6,,,
A1M4NJYP0WNL8Q,993,0.792480326,690,11411,7,0.7,,,
A23MAG8UKFL0QW,993,0.680076135,741,13096,7,0.7,,,
AQCQ5F0OJXMG9,993,0.735401639,391,11389,7,0.7,,,
AUEY946M1L939,993,0.853203283,672,19851,7,0.7,,,
A33C08C20U6DJ0,993,0.750626562,485,12990,7,0.7,,,
A1NT7ED5TATUAM,993,0.741658701,500,13104,7,0.7,,,
A3O5RMXRQBWWVX,993,0.740619405,424,9861,7,0.7,,,
A3H8GNI7FAMGWE,993,0.829336415,442,13862,7,0.7,,,
A1GARI2JT6EAWA,993,0.678226371,947,11062,7,0.7,,,
A3Z9QN0RCOHEY,993,0.717324614,904,10241,7,0.7,,,
A8IPQ1Q1O7YX5,993,0.727613592,891,17260,7,0.7,,,
AX9C10JD538D9,992,0.678086282,680,10000,8,0.8,,,
A1F3DFRPGVEUI8,992,0.739430982,757,10947,8,0.8,,,
A3T0OTH5072YRE,992,0.676408951,713,9113,8,0.8,,,
A33N05GF31KN8N,992,0.690732677,445,8386,8,0.8,,,
A8N3FYDA2VUYY,992,0.727554479,925,11513,8,0.8,,,
A3QVAKVRAH657N,992,0.754325431,707,16398,8,0.8,,,
A3UV7L5ND3EH8T,992,0.860197208,488,11730,8,0.8,,,
AFN32PGTZ31MV,992,0.739030582,566,11972,8,0.8,,,
A2YXRT2XIJIO57,992,0.847436337,568,16190,8,0.8,,,
A2EMIIHBL60K7L,992,0.717840473,595,9453,8,0.8,,,
A1POFVVXUZR3IQ,992,0.741244034,1187,11970,8,0.8,,,
A680RUE1FDO8B,992,0.766798041,1258,14476,8,0.8,,,
A2CR57GAJKNWVV,992,0.771370582,1246,13507,8,0.8,,,
A36CK4SPN3NY6C,992,0.746654602,290,11248,8,0.8,,,
A2OJW07GQRNJUT,992,0.930597003,1686,18964,8,0.8,,,
A3JVE1D10L1CFA,992,0.745373201,832,8981,8,0.8,,,
A3KF4IP2MUS8QQ,992,0.683152139,586,11580,8,0.8,,,
A4SD8F79JBYG2,991,0.755102012,429,9743,9,0.9,,,
A39650P2CZUUC9,991,0.728027563,1112,14095,9,0.9,,,
A2XXQJBK2IDMGI,991,0.830096488,945,11107,9,0.9,,,
A1X1TY8AT7E03H,991,0.655827715,334,8167,9,0.9,,,
A39ABKRS1MKFTW,991,0.794980665,695,11107,9,0.9,,,
ADQR7Y6GIKSDL,991,0.739603889,420,9277,9,0.9,,,
A1D7CDK7HS68NP,991,0.646339394,558,9389,9,0.9,,,
AN3D3M8MJ07BQ,991,0.759253318,637,9863,9,0.9,,,
A151OW029XD9JU,991,0.673447899,460,9635,9,0.9,,,
A1RFQVHBKVN4TA,991,0.732573726,551,10790,9,0.9,,,
A2E3GFHUDNPYDH,991,0.745461446,675,11650,9,0.9,,,
A2P6KAWXJ16234,991,0.708287155,576,9660,9,0.9,,,
A1DLVUJFANNU1Q,991,0.749631652,679,13550,9,0.9,,,
A16QODENBJVUI1,990,0.789210564,611,11033,10,1,,,
AIEEK7AHXKZCC,990,0.821779551,936,11508,10,1,,,
AOKGRSAS5VNS3,990,0.646901359,701,7176,10,1,,,
ACEOOCYZRPWF3,990,0.635356058,817,9158,10,1,,,
A1MC6BFHWY6WC3,990,0.704095116,1436,10617,10,1,,,
A5JZNVV4TEAWU,990,0.663730675,1151,12137,10,1,,,
A1MPQWXSTD511G,990,0.754041658,214,7649,10,1,,,
A3NLJZI5NEOT0K,990,0.776826997,817,9410,10,1,,,
A1LI7KZH6VHPAQ,990,0.797553976,733,12796,10,1,,,
A96K1ZGW56S2I,990,0.689866276,754,8784,10,1,,,
A1CNQTCRQ35IMM,990,0.833949016,1697,11417,10,1,,,
AKB2PYODH0TKS,990,0.828202631,855,11772,10,1,,,
A3CNJR9MD5BFKL,990,0.740058946,334,7626,10,1,,,
A3TAF7M58DN46F,990,0.757681015,1000,9397,10,1,,,
A2TSTJP0B3A3H5,990,0.730255375,1011,7681,10,1,,,
A27R2V3WLS43LP,989,0.68677124,1560,10982,11,1.1,,,
A1BI8PUEHA5CHW,989,0.687081363,1068,9023,11,1.1,,,
A3A6GXILVT9JNW,989,0.84438529,1070,8902,11,1.1,,,
A1725KPO7A5ULX,989,0.776631132,327,11303,11,1.1,,,
A2F6SZLKG0TOJ7,989,0.76734006,588,10487,11,1.1,,,
A1A8QJ282YIUQ0,989,0.598239104,512,6103,11,1.1,,,
AB4L49O201FRA,989,0.771454142,263,7591,11,1.1,,,
A3RFXU3P0XKKF4,989,0.89499361,890,14945,11,1.1,,,
A3MT311233OHMQ,989,0.714172662,1071,11512,11,1.1,,,
A2F3M93RRLFQNJ,989,0.727388889,1188,12215,11,1.1,,,
A3R9HPWFF9QWSN,989,0.753176952,391,10838,11,1.1,,,
A1DK7AQ0RSPXCJ,989,0.68814409,460,8318,11,1.1,,,
A27OBJA1YDQFZI,988,0.755613039,537,8127,12,1.2,,,
A14I311IIUMBWC,988,0.778240648,1022,10193,12,1.2,,,
A303U1MOXG5R1F,988,0.822037416,883,9318,12,1.2,,,
A10IKHRUSMKP46,988,0.664477045,578,7065,12,1.2,,,
A26JGAM6GZMM4V,988,1.005310199,1593,18537,12,1.2,,,
A13OFOB1394G31,988,0.844999269,581,12882,12,1.2,,,
A2V3P1XE33NYC3,988,0.747821852,374,11518,12,1.2,,,
A28WJUJF6D2ULA,988,0.719674255,778,9555,12,1.2,,,
A319KYEIAZ3SON,988,0.813500524,1046,16648,12,1.2,,,
A3EUS4JC68Q476,988,0.765841378,542,9152,12,1.2,,,
A2MF4TISBBQT5A,988,0.713255926,758,11503,12,1.2,,,
AM09IO8QXEB1B,988,0.860310965,1182,8640,12,1.2,,,
A2SY92ZXU2FOEU,988,0.660901305,739,7687,12,1.2,,,
A3MFGULNTMAJS9,987,0.74048156,563,11508,13,1.3,,,
A8710RWTFG3IY,987,0.71092997,822,8805,13,1.3,,,
A1UWPSFAJKKAW0,987,0.728643962,496,9030,13,1.3,,,
A2B8GXSCB1R05T,987,0.803893796,433,9459,13,1.3,,,
A1623N94C3XATU,987,0.847194246,437,11087,13,1.3,,,
A3A7FF87LEVCQ1,987,0.695058091,1002,6609,13,1.3,,,
A3RNP5X8ZGZIEI,987,0.887047778,513,12728,13,1.3,,,
AFUQ93IMBSVR4,987,0.690512672,320,8738,13,1.3,,,
A1IU7S4HCK1XK0,987,0.809531426,887,11307,13,1.3,,,
A1TVYIMMABO17Z,987,0.696480527,388,9499,13,1.3,,,
A3FMZ98X1GIYV9,987,0.720964747,564,12129,13,1.3,,,
A2IXKWJJ7DO5TW,987,0.797040488,315,9196,13,1.3,,,
A15P6JXOSIN2TG,987,0.784357199,614,9155,13,1.3,,,
A1WH1YZ5VGTKXG,987,0.794844669,474,8797,13,1.3,,,
A3GGUBZMTQD1B9,987,0.763352536,534,9009,13,1.3,,,
A2PN7Z2VTHICL8,987,0.803904168,401,9911,13,1.3,,,
A3I8FT707XKQAJ,987,0.740861049,829,11940,13,1.3,,,
A2O5RT4RCC4NU2,986,0.839739606,832,9808,14,1.4,,,
A2PNTEDGMOLMOY,986,0.855634803,448,9276,14,1.4,,,
AQ6AGWKWMTY8H,986,0.721928559,695,8050,14,1.4,,,
A2E9HDZXQORZLA,986,0.724559298,795,13910,14,1.4,,,
A3BTL4FV6ODKAT,986,0.786928892,408,10118,14,1.4,,,
A2OCDK0BOW6UCY,986,0.793908227,782,9244,14,1.4,,,
A3Q80Q6YFP5W6Q,986,0.733430639,425,9429,14,1.4,,,
AKT8TGIT6VVZ5,986,1.055641522,845,11299,14,1.4,,,
A195R8X9ABS2UY,986,0.775490514,309,7731,14,1.4,,,
A2YF4ZMECJVLK9,986,0.811025779,480,12367,14,1.4,,,
A2T9EHCUD7CNEB,986,0.715700509,340,7109,14,1.4,,,
A2X2WTEVCZ5L8N,986,0.715346449,499,6880,14,1.4,,,
A3RSRLZ271Q81S,986,0.751679298,373,9858,14,1.4,,,
A33J2VWP9HXDU9,986,0.652395169,591,9027,14,1.4,,,
AXHETL0M8XZPT,986,0.762786034,539,8805,14,1.4,,,
A2KWQ64TRHB3YH,986,0.81880796,937,9791,14,1.4,,,
A33I4RCFITFXG5,985,0.770021583,701,8637,15,1.5,,,
A2C27IQUH9N1Z,985,0.700416985,761,9073,15,1.5,,,
A9I40WFF40R4,985,0.819574705,539,11706,15,1.5,,,
A17U562HOY2OQV,985,0.694186349,771,7539,15,1.5,,,
A19KLUZ1XD3SRN,985,0.830886592,522,8326,15,1.5,,,
A1E1LEVQ9VQNK,985,0.767213088,757,8570,15,1.5,,,
A3UW23DBF2KHWC,985,0.679760526,724,8083,15,1.5,,,
A1G37DFO8MQW0M,985,0.975809942,1135,18539,15,1.5,,,
A2BZCHIDR5FTYA,985,0.824156608,883,11872,15,1.5,,,
A2JP0URFHXP6DO,985,0.851940972,610,10415,15,1.5,,,
A1X4L7AO1BXMHK,985,0.691765608,897,7942,15,1.5,,,
ASXW7UQXGMNJL,985,0.727789545,438,9415,15,1.5,,,
A1JKGTL51HHTU1,985,0.689075095,1525,12687,15,1.5,,,
A30KEXFT9SILL6,985,0.679829498,1076,8787,15,1.5,,,
A22RY8N8CNDF3A,985,1.064107948,2123,19240,15,1.5,,,
AN8C7BGR98HLN,985,0.879781559,1237,8912,15,1.5,,,
A1U360OMVQRPUB,985,0.721874117,644,10507,15,1.5,,,
A3326UC548HDXO,984,0.806068761,747,9015,16,1.6,,,
A3R9X003XW0LNR,984,0.687495281,568,7495,16,1.6,,,
A3AVJCB1ZD6ZY5,984,0.742323992,563,7581,16,1.6,,,
A3H82LUT1EC655,984,0.86627662,752,9378,16,1.6,,,
AAY0T5U6OJMKN,984,0.800064343,239,9443,16,1.6,,,
ATFRPYKXCCTJX,984,0.704595543,1246,9673,16,1.6,,,
A2EGK0YRDF4ZZB,984,1.023171285,313,9948,16,1.6,,,
A2GO2DPX0E1NFN,984,0.712133617,430,8295,16,1.6,,,
A265NE6H6LYX87,984,0.742091348,581,7566,16,1.6,,,
A1SKNS2DGG46XM,984,0.931546205,551,10706,16,1.6,,,
A2QX49LS3Y3ANI,984,0.717576633,336,9547,16,1.6,,,
A3LXRIY0HE71K,984,0.71904713,1172,10409,16,1.6,,,
A18JHVX925K101,984,0.779116008,1237,9765,16,1.6,,,
A3I9PUR2E3BSJC,984,0.88056224,329,8784,16,1.6,,,
A32EOHLFZYXJEP,984,0.757741864,484,7278,16,1.6,,,
A2RQ0AT4XZUIXL,984,0.743291546,755,9094,16,1.6,,,
A1D4X23GWOXDEH,983,0.719256149,457,8746,17,1.7,,,
A19UT0OPQCDR8,983,0.743317394,813,8816,17,1.7,,,
AEYEAH3C78BBZ,983,0.815197593,522,9855,17,1.7,,,
A25HYPL2XKQPZB,983,0.762369054,684,7962,17,1.7,,,
A6XR7Y415RPD0,983,0.824031104,786,9220,17,1.7,,,
A2X29H96X7C3XJ,983,0.849143819,704,8505,17,1.7,,,
A2IIB10X0CECYV,983,0.792296023,758,6102,17,1.7,,,
AWEJ5JKD3MQMU,983,0.760665847,436,9246,17,1.7,,,
A281NPSIMI1C2R,983,0.773950835,1480,14382,17,1.7,,,
A2IF83HCHVSRW2,983,0.775692356,275,7513,17,1.7,,,
A2NHD7LUXVGTD3,983,0.833951115,706,9947,17,1.7,,,
A1KGWUYXUBEMB2,983,0.8772389,435,8097,17,1.7,,,
A2F3SXHT6RBV81,983,0.791011886,731,13346,17,1.7,,,
A34UTL4AVX80MK,983,0.910722596,869,16072,17,1.7,,,
A2WW57XX2UVLM6,983,0.71615637,506,7885,17,1.7,,,
ADDT2MU773IYL,983,0.723749007,946,7240,17,1.7,,,
A44OY8EFDM4IP,983,0.690731621,544,6047,17,1.7,,,
A1XOHJLA16DPZT,982,0.846307235,246,11386,18,1.8,,,
A2H44WVZS59KKT,982,0.682135074,924,8489,18,1.8,,,
A35DI28HRSEEP6,982,0.856746233,489,9039,18,1.8,,,
A2PR6NXG0PA3KY,982,0.893257478,499,13858,18,1.8,,,
A1FJFLAAQD5WH2,982,0.780079546,709,8921,18,1.8,,,
A1M8PP7MLHNBQB,982,0.7710358,1973,11566,18,1.8,,,
A1HA6KZZNDCME9,982,0.857361383,691,9142,18,1.8,,,
AFSDOEM2R35GR,982,0.774092253,351,9712,18,1.8,,,
A3AVRSSNHRMNEI,982,0.815033757,564,7710,18,1.8,,,
A1DPU1ZBRWSFD3,982,0.841273169,504,10766,18,1.8,,,
A2HM0BZWQRV1EF,982,0.798607824,933,18192,18,1.8,,,
A2G09684ZOK8X2,982,0.757984084,808,7585,18,1.8,,,
A277TO3PKKNYDH,982,0.735806614,473,7902,18,1.8,,,
A1ER5AYS3FQ9O3,982,0.693794113,667,7490,18,1.8,,,
A3O0GVCFV59SZ5,982,0.840249865,213,7278,18,1.8,,,
A3B48AN8JID1JK,982,0.844139968,920,11327,18,1.8,,,
A10WKHGNMX5VTX,982,0.803462529,238,9251,18,1.8,,,
A2SI6BNK5SWSMD,982,0.81191535,928,9552,18,1.8,,,
A3NBL1TI2M3CW1,982,0.788870702,597,9009,18,1.8,,,
AHD101501WCN1,981,0.892875116,1732,12713,19,1.9,,,
A116J8AUC3JSN2,981,0.753396547,311,7614,19,1.9,,,
A38TN3W164HE9K,981,0.850198927,261,10197,19,1.9,,,
AQQLWCMRNDFGI,981,0.951457915,927,11858,19,1.9,,,
A2TBZAC0XYHLIB,981,0.703889065,716,7403,19,1.9,,,
A37MH7ICH80QOX,981,0.800633145,301,7301,19,1.9,,,
A359U0JFFZ0Q04,981,0.855758303,502,11636,19,1.9,,,
AEJAGHLC675A7,981,0.810969979,216,8739,19,1.9,,,
A3E8QNDC7CV44,981,0.845723817,491,11029,19,1.9,,,
A392P34QSBUICZ,981,0.694395185,414,6478,19,1.9,,,
A2K9FXOFFHVNWG,981,0.68095374,432,7063,19,1.9,,,
AN89MYMWS3FI8,981,0.969088053,351,9770,19,1.9,,,
A2YUZKPLUYQDKV,981,0.792586218,483,9062,19,1.9,,,
A3NQU1649SH0Q4,981,0.865871989,343,9013,19,1.9,,,
A51IK68MWKV5R,980,0.779923004,338,8247,20,2,,,
A1NC9AGZOBI0M1,980,0.787154676,613,8785,20,2,,,
A2AIE9DO5QSVBD,980,0.851160767,852,8039,20,2,,,
A3CJIKSI14N529,980,0.745693228,571,8502,20,2,,,
A2V92F5R7MLCVI,980,0.775407227,894,9096,20,2,,,
A1L43KWWR05PCS,980,0.842663093,748,9186,20,2,,,
A1L10XK94U8YQL,980,0.845072896,352,8425,20,2,,,
A3BFDEBT5IV4UN,980,0.66334392,857,8766,20,2,,,
AE2852M5ZI67L,980,0.773310951,368,7457,20,2,,,
A15ANBKUY4JSPD,980,0.832341524,275,8191,20,2,,,
A1Z3V0SOB9D9VP,980,0.814020888,461,9124,20,2,,,
A1Z1F8JP032EV2,980,0.834171725,417,8080,20,2,,,
A2EBLL2OYEQJN9,980,0.759987124,479,7457,20,2,,,
A1DYMH30TSRONY,980,0.82805677,882,10483,20,2,,,
A3E8R7PQJYY8X3,980,0.770673424,469,5885,20,2,,,
A3OL1AX1IODBYL,979,0.820905655,899,10347,21,2.1,,,
AL4SB31UAZLXL,979,0.704973484,468,5863,21,2.1,,,
ANEDXRFDZDL18,979,0.798365885,636,7191,21,2.1,,,
AX54G5AL870Q8,979,0.775794515,578,8095,21,2.1,,,
A346Q7G40L4LNK,979,0.784506297,351,7633,21,2.1,,,
A1TWH3KD5YJQHM,979,0.891260153,335,10264,21,2.1,,,
AW3VZ5O895LRK,979,0.743024166,640,6818,21,2.1,,,
A21VR7M8O55EF6,979,0.902768828,735,14924,21,2.1,,,
A2B1GZIRD6W646,979,0.800881184,875,10413,21,2.1,,,
A1C74SFQ5UMHLS,979,0.711286399,584,7533,21,2.1,,,
ARNEUO7BF3J55,979,0.824611615,334,8647,21,2.1,,,
A14BTJRH9VNLJJ,979,0.764256209,1021,8171,21,2.1,,,
A186ZAYP2L4CDZ,979,0.741360746,690,7693,21,2.1,,,
ANOBZWKE25SBY,979,0.884782829,1010,9372,21,2.1,,,
AUHG8KSHI529U,979,0.794025185,891,12071,21,2.1,,,
A1GQAKL9CGQLP1,979,0.774013174,509,8073,21,2.1,,,
A1X8VZWTOG8IS6,979,0.936343843,2299,14409,21,2.1,,,
A2KBHSK5BS35BH,979,0.726456409,373,6510,21,2.1,,,
A1LKSZ9CYJ6829,979,0.894359701,734,11610,21,2.1,,,
AITIU2DG1MM4A,979,0.720007952,621,8127,21,2.1,,,
A324NNSMM9EFML,979,0.851341856,644,8997,21,2.1,,,
A14QJKY3DA19AP,978,0.738136,541,7304,22,2.2,,,
A33EVEMS61JYRQ,978,0.82046408,591,7249,22,2.2,,,
A3IR2O2V9V2DI4,978,0.826325679,675,7619,22,2.2,,,
AGB7UQZMVHNUJ,978,0.687095292,462,6169,22,2.2,,,
A6OSDNASR0BVX,978,0.811671279,248,8466,22,2.2,,,
A1OBNY1WB38LMI,978,0.869165125,517,13209,22,2.2,,,
A22F3BWM7RAHDA,978,0.934748931,254,9596,22,2.2,,,
A2ZHH7AK83JB5G,978,0.805178734,748,7675,22,2.2,,,
A11OTLEDSW8ZXD,978,0.773660355,531,8736,22,2.2,,,
A1NATT3PN24QWY,978,0.95333467,2053,11770,22,2.2,,,
A1XJ64FBB2IRGT,978,0.914882273,254,10950,22,2.2,,,
A23IKWYRRH2YLR,978,0.828098175,354,7551,22,2.2,,,
A11B61QBGHLQDN,978,0.867744036,692,7546,22,2.2,,,
A1HBC0NBQJHT7X,978,0.70183458,421,7033,22,2.2,,,
A13G1TKIKHGV3F,978,0.744755539,1402,10201,22,2.2,,,
A2IEEN02KO9ISO,977,0.714163782,679,8333,23,2.3,,,
A24U6WGBZ4P74W,977,0.712798872,596,5862,23,2.3,,,
A2O9HU1K7TCF7B,977,0.743421306,733,7728,23,2.3,,,
AXHEVH3H93VV7,977,0.729740187,276,6644,23,2.3,,,
A1TPW86OHXTXFC,977,0.784751162,583,9635,23,2.3,,,
A13E0ARAXI6KJW,977,0.887055933,440,11738,23,2.3,,,
A2VWGLT380E60S,977,0.739023635,437,6516,23,2.3,,,
A3VKMXTPAUNUUB,977,0.772703481,443,6958,23,2.3,,,
A6OEMGVJ017X0,977,0.901972008,323,7772,23,2.3,,,
A1M1Y5UGONAW06,977,0.784697486,408,7032,23,2.3,,,
A3M6RVUVZOQZLB,977,0.762389586,355,9029,23,2.3,,,
APTVNT7U6RZC3,977,0.830091817,719,11255,23,2.3,,,
A2KBF2OYR359AJ,977,0.742880145,469,7176,23,2.3,,,
A217AHDUN90O31,977,0.889133521,185,8836,23,2.3,,,
A3V6Z4RCDGRC44,977,0.743484529,390,7509,23,2.3,,,
A2KWFYFNRO2EOJ,977,0.751448335,556,8097,23,2.3,,,
ACEA95FQS1AVP,976,0.781363831,461,6132,24,2.4,,,
A1XHK8COWBZ34F,976,0.740286478,352,7981,24,2.4,,,
A25KKXUQQ0OLWB,976,0.770482535,1423,7558,24,2.4,,,
A2XNOB1T796Y6B,976,0.74311303,710,7297,24,2.4,,,
A1WKQ94M45D8MG,976,0.69415606,472,7119,24,2.4,,,
AMLA0B6EHD4OS,976,0.790393361,733,6537,24,2.4,,,
A2WZZFJSNLR631,976,0.863197717,916,10472,24,2.4,,,
AKPKPMWM6IIU5,976,0.867236172,1212,8106,24,2.4,,,
A18ZOHJ7ZERQ8,976,0.770757355,308,6825,24,2.4,,,
A2Y739CRM15WDL,976,0.727483437,498,7649,24,2.4,,,
AUTBHG6070SL4,976,0.828476741,866,10183,24,2.4,,,
A3LKWMM12AF0PU,976,0.828206901,360,8591,24,2.4,,,
A3A7DII49DAMF,976,0.734671607,480,7936,24,2.4,,,
A3M7LPAT8A1KND,976,0.750592308,122,6715,24,2.4,,,
A2QZVW56O4WSBT,976,0.865807608,516,9283,24,2.4,,,
A75W6T9I2S8BA,976,0.72033078,282,7103,24,2.4,,,
A2I6MHMAZZDCRX,976,0.77071723,767,6784,24,2.4,,,
A18RWUG5OVTR1O,976,0.730086494,1051,8648,24,2.4,,,
A1EBJ93E1T50RT,975,0.896706058,198,6803,25,2.5,,,
A36WTXJBYS3DB6,975,0.733994999,376,7607,25,2.5,,,
A23GFTVIETX7DS,975,0.8211098,347,7307,25,2.5,,,
A1S8AJIUIO6M9K,975,1.006561237,991,18322,25,2.5,,,
A3D6KZT0QG6UKB,975,0.722503766,492,7313,25,2.5,,,
AMRZ5G7HF7I03,975,0.976321194,342,10236,25,2.5,,,
A20IIR0422G3A5,975,1.038121704,756,13726,25,2.5,,,
AVGGEAI1YGSAP,975,0.864883608,229,8495,25,2.5,,,
A2XPGNJ8YUPHM0,975,0.80106088,428,6250,25,2.5,,,
AIO247KHD2O40,975,0.743976956,1208,10317,25,2.5,,,
A2VZ11U5DXM8J5,975,0.823353807,348,7391,25,2.5,,,
A31JTKBQRVQ83G,975,0.746931654,321,6446,25,2.5,,,
A2ZY49IDE6TY5I,975,0.768226623,710,9457,25,2.5,,,
A3HMU9SPCDHHHJ,975,0.832735463,503,5404,25,2.5,,,
A1DW5IH6QCOFQ7,974,0.864413787,1083,10967,26,2.6,,,
AU5HUS2XJBDZZ,974,0.800102938,357,7722,26,2.6,,,
A2ANWGPM3M2JPD,974,0.838644987,522,8581,26,2.6,,,
A81S2CYRRJGHI,974,0.844422833,625,7316,26,2.6,,,
A3NH7PYU4AD5GA,974,0.827226262,410,9506,26,2.6,,,
A2Z44AN3F2IN61,974,0.736742789,503,7104,26,2.6,,,
A21AH7XBX436AS,974,0.890967651,433,8539,26,2.6,,,
A3CWEK9HY2VPDL,974,0.758807365,414,7525,26,2.6,,,
A3H8NJ5PJNLFD5,974,0.838874211,727,7400,26,2.6,,,
A2D9IEFJGB483Q,974,0.879472513,311,8810,26,2.6,,,
A2OAD5Y7MXUOFZ,974,0.779408506,323,6213,26,2.6,,,
A2VMT89TCSF105,974,1.048134495,458,11063,26,2.6,,,
AIIR8E34EDKCQ,974,0.715964104,415,6956,26,2.6,,,
A2R53V98P2T4Y4,974,0.682322007,450,6641,26,2.6,,,
AOTMP0OKJOUWI,973,0.734383029,624,5495,27,2.7,,,
A2X4AEWNWCA1NX,973,0.90445632,339,9315,27,2.7,,,
A23US54A0OILE4,973,0.738662878,492,7107,27,2.7,,,
A2FNUUCH6I6U2S,973,0.874656116,413,8879,27,2.7,,,
A2VPX1QH62VSMH,973,0.806458751,436,6852,27,2.7,,,
A11L3YX5WIDKJ,973,0.75822502,713,6033,27,2.7,,,
A3EXIZWHSNVNME,973,0.74673829,417,6688,27,2.7,,,
AVO3NDENWYHEH,973,0.783733978,380,6666,27,2.7,,,
A2W2E6BPPYZO0T,973,0.698978007,410,6113,27,2.7,,,
A3PHF9UV3F177L,973,0.706286293,532,6730,27,2.7,,,
A1BXA3SM3AJOKL,973,0.905963422,243,9868,27,2.7,,,
A3GQKB1KF0CRPE,973,0.887135668,454,7694,27,2.7,,,
A3BVQHM1C6B9UW,973,0.850236553,593,8010,27,2.7,,,
A1RMHZSWZ7ZEQO,973,0.761318619,808,8343,27,2.7,,,
A1X2URS71RRMMF,973,0.76959087,706,8650,27,2.7,,,
A2FR2X7OD3GNAY,973,0.770157471,406,8141,27,2.7,,,
AT2R7ZVT7QYOU,973,0.854148575,450,9992,27,2.7,,,
A244CRJ2QSVLZ4,973,0.956581101,257,9517,27,2.7,,,
AKR4DH6WLF6GG,973,0.755058034,290,8180,27,2.7,,,
